Customer_Name,Account_number,Pass_word,Customer_ID,Auditor_ID,Bank_Name,Policy_Version ,Audit_Details,Administrator_ID,Administrator_Name,Service_Provider_ID,Service_Provider_Name,Audit_Details,Account_Number,Debit_Card_number,Balance,Recurring_Status,Credit_Card_number,Expiry_Date,Maximum_limit,Credit_Card_Status,,Expiry_Date,Debit_Card_Status,,Recurring_Amount,Cheques_encashed,Cheque_payments,Check_books_issues,Cheque_Status
Tamekah,5.49491E+15,LIG34AWS8SH,51516,41445,Gringotts ,20.2,11,6591280989,Kai,5.52112E+15,Quinn,9,5.43593E+15,519280,74469,0,842045,2022-07-15 19:47:59,963701,0,,2030-09-09 20:33:39,1,,30791,0,0,0,1
Caleb,5.38545E+15,ZPM15GCY0NN,85820,25954,,,15,3687598091,Addison,5.22059E+15,Jin,3,5.57274E+15,931455,83778,1,910396,2023-10-19 01:07:32,167234,0,,2030-10-31 09:18:37,1,,43848,0,0,0,1
Nigel,5.31162E+15,KRL76SFI2DY,92538,98971,,,8,8600365895,Heather,5.54259E+15,Timothy,9,5.12088E+15,341100,1676,1,547558,2030-01-12 04:12:43,202487,0,,2029-11-29 01:27:03,0,,48588,0,0,0,1
Abel,5.50156E+15,COO20HJL0EL,31554,81224,,,3,3156620572,Iona,5.58024E+15,Cody,1,5.43859E+15,634495,46821,0,866231,2023-12-29 08:11:39,430322,1,,2031-03-11 03:30:49,1,,77818,0,0,0,0
Wyatt,5.19405E+15,KKY80PRB3NV,94914,52934,,,18,9240093888,Ulric,5.23787E+15,Macon,7,5.37984E+15,022835,82911,0,383283,2026-09-09 03:09:06,406340,1,,2029-02-21 12:06:35,0,,27908,0,0,0,1
Robin,5.42207E+15,ELF56ARE6VV,86418,54208,,,12,0772427985,Price,5.12783E+15,Walter,2,5.19309E+15,731921,33597,0,475026,2020-01-22 10:05:10,961965,1,,2021-03-27 05:02:06,1,,97554,0,0,0,1
Rafael,5.23442E+15,GAN33GXE2CC,9140,24253,,,8,8146816319,Galvin,5.42011E+15,Kenyon,4,5.29511E+15,041190,8871,0,765554,2025-10-14 02:16:16,871070,0,,2029-07-11 12:02:30,0,,21016,0,0,0,1
Riley,5.55956E+15,LWM84XWX4ED,6569,10976,,,3,3765992793,Lacey,5.56939E+15,Cooper,5,5.29656E+15,649826,66356,0,953075,2027-10-31 18:19:11,534685,0,,2028-08-18 08:26:56,0,,49592,0,0,0,1
Charlotte,5.49162E+15,ZHV98DXQ1GR,4118,28954,,,19,6501774679,Kadeem,5.54795E+15,Mia,9,5.39921E+15,015321,36205,1,834921,2027-03-13 20:26:18,147340,1,,2022-08-10 16:07:50,0,,78495,0,0,0,1
Charissa,5.49767E+15,NUR57CFQ8TN,11854,51254,,,3,5872994732,Scott,5.23883E+15,Stuart,2,5.5909E+15,642875,10200,0,256319,2022-09-11 17:27:27,108405,0,,2033-10-09 14:49:40,0,,16603,0,0,0,1
Hu,5.30496E+15,HTD64LOT9VC,85671,41445,,,19,2999339791,Jason,5.19038E+15,Henry,5,5.58388E+15,374068,13361,1,488428,2024-02-16 20:30:21,572622,0,,2032-10-26 08:57:07,0,,14036,0,0,0,0
Shaine,5.11282E+15,DWJ23BJW6FB,78933,25954,,,8,2500608078,Adam,5.39923E+15,Audra,6,5.51585E+15,992780,6888,1,682428,2027-10-19 20:11:32,496117,1,,2020-09-04 21:36:58,0,,71119,0,0,0,0
Madonna,5.39836E+15,DXA61UDX6SB,81129,98971,,,4,1175693089,Thor,5.16083E+15,Quinlan,7,5.40256E+15,839945,43956,1,911941,2023-10-23 11:22:48,401183,0,,2027-07-29 07:18:00,1,,1270,0,0,0,0
